day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
2,PL036,0.0,0.0,39.0,60.0,60.0
3,PL036,0.0,0.0,33.0,60.0,60.0
4,PL036,0.0,0.0,46.0,60.0,60.0
5,PL036,38.0,0.0,2.0,60.0,60.0
6,PL036,23.0,0.0,60.0,60.0,60.0
7,PL036,60.0,0.0,0.0,60.0,60.0
1,PL037,12.0,0.0,24.0,60.0,60.0
2,PL037,0.0,0.0,60.0,60.0,60.0
3,PL037,41.0,0.0,1.0,60.0,60.0
4,PL037,29.0,0.0,60.0,60.0,60.0
5,PL037,0.0,0.0,60.0,60.0,60.0
6,PL037,51.0,0.0,0.0,60.0,60.0
7,PL037,60.0,0.0,43.0,60.0,60.0
1,PL038,23.0,0.0,23.0,60.0,60.0
2,PL038,0.0,0.0,60.0,60.0,60.0
3,PL038,37.0,0.0,0.0,60.0,60.0
4,PL038,8.0,0.0,60.0,60.0,60.0
5,PL038,0.0,0.0,54.0,60.0,60.0
6,PL038,0.0,0.0,38.0,60.0,60.0
7,PL038,45.0,0.0,0.0,60.0,60.0
1,PL039,8.0,0.0,34.0,60.0,60.0
2,PL039,0.0,0.0,60.0,60.0,60.0
3,PL039,23.0,0.0,13.0,60.0,60.0
4,PL039,0.0,0.0,60.0,60.0,60.0
5,PL039,22.0,0.0,10.0,60.0,60.0
6,PL039,15.0,0.0,60.0,60.0,60.0
7,PL039,60.0,0.0,0.0,60.0,60.0
1,PL040,22.0,0.0,9.0,60.0,60.0
2,PL040,0.0,0.0,60.0,60.0,60.0
3,PL040,20.0,0.0,3.0,60.0,60.0
4,PL040,0.0,0.0,60.0,60.0,60.0
5,PL040,13.0,0.0,17.0,60.0,60.0
6,PL040,60.0,0.0,0.0,60.0,60.0
7,PL040,60.0,0.0,49.0,60.0,60.0
1,PL041,0.0,0.0,42.0,60.0,60.0
2,PL041,16.0,0.0,9.0,60.0,60.0
3,PL041,0.0,0.0,60.0,60.0,60.0
4,PL041,46.0,0.0,0.0,60.0,60.0
5,PL041,18.0,0.0,60.0,60.0,60.0
6,PL041,0.0,0.0,58.0,60.0,60.0
7,PL041,32.0,0.0,0.0,60.0,60.0
1,PL042,0.0,0.0,45.0,60.0,60.0
2,PL042,16.0,0.0,25.0,60.0,60.0
3,PL042,0.0,0.0,60.0,60.0,60.0
4,PL042,0.0,0.0,40.0,60.0,60.0
5,PL042,32.0,0.0,6.0,60.0,60.0
6,PL042,0.0,0.0,60.0,60.0,60.0
7,PL042,37.0,0.0,0.0,60.0,60.0
1,PL043,0.0,0.0,35.0,60.0,60.0
2,PL043,0.0,0.0,37.0,60.0,60.0
3,PL043,35.0,0.0,0.0,60.0,60.0
4,PL043,17.0,0.0,60.0,60.0,60.0
5,PL043,0.0,0.0,50.0,60.0,60.0
6,PL043,34.0,0.0,1.0,60.0,60.0
7,PL043,60.0,0.0,0.0,60.0,60.0
1,PL044,0.0,0.0,33.0,60.0,60.0
2,PL044,0.0,0.0,46.0,60.0,60.0
3,PL044,18.0,0.0,4.0,60.0,60.0
4,PL044,0.0,0.0,60.0,60.0,60.0
5,PL044,35.0,0.0,0.0,60.0,60.0
6,PL044,60.0,0.0,15.0,60.0,60.0
