locker_id,assigned_warehouse_id,assigned_warehouse_name,demand,km_to_assigned
PL149,NW_1,Barkarby Hub,285.0,11.969188356278375
PL150,NW_1,Barkarby Hub,258.0,12.392963959735543
PL151,NW_6,Tyresö Depot,289.0,11.622068657842622
PL152,NW_1,Barkarby Hub,273.0,5.742537495918571
PL153,NW_1,Barkarby Hub,268.0,9.804810661001
PL154,NW_1,Barkarby Hub,269.0,14.241930228621625
PL155,NW_1,Barkarby Hub,287.0,11.581376288590171
PL156,NW_1,Barkarby Hub,283.0,13.049817482599078
PL157,NW_1,Barkarby Hub,264.0,13.606487790238335
PL158,NW_1,Barkarby Hub,273.0,11.27926031717594
PL159,NW_1,Barkarby Hub,275.0,14.95555292283767
PL160,NW_1,Barkarby Hub,280.0,11.428632029523106
PL161,NW_1,Barkarby Hub,285.0,11.45332575568246
PL162,NW_1,Barkarby Hub,270.0,13.534282242833887
PL163,NW_6,Tyresö Depot,284.0,13.046484306907688
PL164,NW_1,Barkarby Hub,281.0,7.848482153117706
PL165,NW_1,Barkarby Hub,290.0,10.432419372876115
PL166,NW_1,Barkarby Hub,264.0,12.077124121366877
PL167,NW_6,Tyresö Depot,292.0,14.45062433367665
PL168,NW_1,Barkarby Hub,285.0,15.191524888817849
PL169,NW_6,Tyresö Depot,275.0,14.175315501656808
PL170,NW_6,Tyresö Depot,299.0,10.941720935975512
PL171,NW_1,Barkarby Hub,272.0,9.158074292910232
PL172,NW_1,Barkarby Hub,265.0,11.205066411886577
PL173,NW_1,Barkarby Hub,286.0,10.709958084920942
PL174,NW_1,Barkarby Hub,264.0,10.465852259056671
PL175,NW_6,Tyresö Depot,296.0,14.641188596666378
PL176,NW_1,Barkarby Hub,275.0,15.155137319532736
PL177,NW_1,Barkarby Hub,305.0,12.196134723091618
PL178,NW_6,Tyresö Depot,283.0,15.550622493349945
PL179,NW_1,Barkarby Hub,271.0,14.804446216823878
PL180,NW_6,Tyresö Depot,285.0,15.136436168246487
