day,locker_id,cleared_actual,overflow,S_end,capacity,clear_capacity
1,PL027,28.729825,0.0,60.270175,99.0,60.0
2,PL027,43.189474,0.0,54.080702,99.0,60.0
3,PL027,40.378947,0.0,50.701754,99.0,60.0
4,PL027,39.185965,0.0,55.515789,99.0,60.0
5,PL027,39.498246,0.0,54.017544,99.0,60.0
6,PL027,41.814035,0.0,55.203509,99.0,60.0
7,PL027,0.0,0.0,95.203509,99.0,60.0
1,PL028,20.647273,0.0,50.352727,72.0,60.0
2,PL028,33.578182,0.0,49.774545,72.0,60.0
3,PL028,36.672727,0.0,57.101818,72.0,60.0
4,PL028,38.789091,0.0,59.312727,72.0,60.0
5,PL028,43.330909,0.0,60.981818,72.0,60.0
6,PL028,41.949091,0.0,59.032727,72.0,60.0
7,PL028,25.032727,0.0,72.0,72.0,60.0
1,PL029,25.237113,0.0,30.762887,43.0,60.0
2,PL029,34.896907,0.0,28.865979,43.0,60.0
3,PL029,41.986254,0.0,41.879725,43.0,60.0
4,PL029,41.068729,0.0,35.810997,43.0,60.0
5,PL029,43.185567,0.0,33.62543,43.0,60.0
6,PL029,41.412371,0.0,39.213058,43.0,60.0
7,PL029,40.213058,0.0,43.0,43.0,60.0
1,PL030,17.10687,2.8358779,39.057252,57.0,60.0
2,PL030,31.01145,0.0,49.045802,57.0,60.0
3,PL030,37.045802,0.0,57.0,57.0,60.0
4,PL030,42.89313,0.10687023,57.0,57.0,60.0
5,PL030,43.423664,0.0,55.576336,57.0,60.0
6,PL030,32.576336,0.0,57.0,57.0,60.0
7,PL030,30.0,0.0,57.0,57.0,60.0
1,PL031,27.40493,0.0,36.59507,39.0,60.0
2,PL031,40.211268,0.0,31.383803,39.0,60.0
3,PL031,41.387324,0.0,34.996479,39.0,60.0
4,PL031,39.978873,0.0,36.017606,39.0,60.0
5,PL031,42.102113,0.0,33.915493,39.0,60.0
6,PL031,42.454225,0.0,37.461268,39.0,60.0
7,PL031,32.461268,0.0,39.0,39.0,60.0
1,PL032,32.653465,0.0,64.346535,94.0,60.0
