day,locker_id,warehouse_id,flow,km,p_late_effective,hours_per_order,expected_late,expected_late_cost,vehicle_hours_used
3,PL052,NW_2,36.0,18.950800817311716,0.05700000000000005,0.009475400408655858,2.052000000000002,410.4000000000004,0.34111441471161086
4,PL052,NW_2,36.0,18.950800817311716,0.05700000000000005,0.009475400408655858,2.052000000000002,410.4000000000004,0.34111441471161086
5,PL052,NW_2,30.0,18.950800817311716,0.05700000000000005,0.009475400408655858,1.7100000000000015,342.0000000000003,0.28426201225967573
6,PL052,NW_2,33.0,18.950800817311716,0.05700000000000005,0.009475400408655858,1.8810000000000016,376.20000000000033,0.3126882134856433
7,PL052,NW_2,58.0,18.950800817311716,0.05700000000000005,0.009475400408655858,3.3060000000000027,661.2000000000005,0.5495732237020398
1,PL052,NW_3,0.0,17.476791109183658,0.03500000000000003,0.008738395554591829,0.0,0.0,0.0
2,PL052,NW_3,0.0,17.476791109183658,0.03500000000000003,0.008738395554591829,0.0,0.0,0.0
3,PL052,NW_3,0.0,17.476791109183658,0.03500000000000003,0.008738395554591829,0.0,0.0,0.0
4,PL052,NW_3,0.0,17.476791109183658,0.03500000000000003,0.008738395554591829,0.0,0.0,0.0
5,PL052,NW_3,0.0,17.476791109183658,0.03500000000000003,0.008738395554591829,0.0,0.0,0.0
6,PL052,NW_3,0.0,17.476791109183658,0.03500000000000003,0.008738395554591829,0.0,0.0,0.0
7,PL052,NW_3,0.0,17.476791109183658,0.03500000000000003,0.008738395554591829,0.0,0.0,0.0
1,PL052,NW_4,0.0,18.483312375331543,0.07900000000000007,0.009241656187665773,0.0,0.0,0.0
2,PL052,NW_4,0.0,18.483312375331543,0.07900000000000007,0.009241656187665773,0.0,0.0,0.0
3,PL052,NW_4,0.0,18.483312375331543,0.07900000000000007,0.009241656187665773,0.0,0.0,0.0
4,PL052,NW_4,0.0,18.483312375331543,0.07900000000000007,0.009241656187665773,0.0,0.0,0.0
5,PL052,NW_4,0.0,18.483312375331543,0.07900000000000007,0.009241656187665773,0.0,0.0,0.0
6,PL052,NW_4,0.0,18.483312375331543,0.07900000000000007,0.009241656187665773,0.0,0.0,0.0
7,PL052,NW_4,0.0,18.483312375331543,0.07900000000000007,0.009241656187665773,0.0,0.0,0.0
1,PL052,NW_5,0.0,22.41694176965854,0.050000000000000044,0.01120847088482927,0.0,0.0,0.0
2,PL052,NW_5,0.0,22.41694176965854,0.050000000000000044,0.01120847088482927,0.0,0.0,0.0
3,PL052,NW_5,0.0,22.41694176965854,0.050000000000000044,0.01120847088482927,0.0,0.0,0.0
