day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
7,PL025,65.0,0.0,22.949153,60.0,65.0
1,PL026,31.307958,8.4532872,21.238754,60.0,50.0
2,PL026,40.899654,0.0,37.408304,60.0,50.0
3,PL026,50.0,0.0,43.899654,60.0,50.0
4,PL026,42.546713,0.0,46.453287,60.0,50.0
5,PL026,39.612457,0.0,44.934256,60.0,50.0
6,PL026,36.570934,0.0,39.041522,60.0,50.0
7,PL026,50.0,0.0,25.570934,60.0,50.0
1,PL027,60.270175,0.0,28.729825,60.0,99.0
2,PL027,54.080702,0.0,43.189474,60.0,99.0
3,PL027,50.701754,0.0,40.378947,60.0,99.0
4,PL027,55.515789,0.0,39.185965,60.0,99.0
5,PL027,54.017544,0.0,39.498246,60.0,99.0
6,PL027,55.203509,0.0,41.814035,60.0,99.0
7,PL027,95.203509,0.0,0.0,60.0,99.0
1,PL028,50.352727,0.0,20.647273,60.0,72.0
2,PL028,49.774545,0.0,33.578182,60.0,72.0
3,PL028,57.101818,0.0,36.672727,60.0,72.0
4,PL028,59.312727,0.0,38.789091,60.0,72.0
5,PL028,60.981818,0.0,43.330909,60.0,72.0
6,PL028,59.032727,0.0,41.949091,60.0,72.0
7,PL028,72.0,0.0,25.032727,60.0,72.0
1,PL029,30.762887,0.0,25.237113,60.0,43.0
2,PL029,28.865979,0.0,34.896907,60.0,43.0
3,PL029,41.879725,0.0,41.986254,60.0,43.0
4,PL029,35.810997,0.0,41.068729,60.0,43.0
5,PL029,33.62543,0.0,43.185567,60.0,43.0
6,PL029,39.213058,0.0,41.412371,60.0,43.0
7,PL029,43.0,0.0,40.213058,60.0,43.0
1,PL030,38.950382,2.9427481,17.10687,60.0,57.0
2,PL030,48.938931,0.0,31.01145,60.0,57.0
3,PL030,56.89313,0.0,37.045802,60.0,57.0
4,PL030,57.0,0.0,42.89313,60.0,57.0
5,PL030,55.576336,0.0,43.423664,60.0,57.0
6,PL030,49.553435,0.0,40.022901,60.0,57.0
7,PL030,57.0,0.0,22.553435,60.0,57.0
1,PL031,36.59507,0.0,27.40493,60.0,39.0
2,PL031,31.383803,0.0,40.211268,60.0,39.0
3,PL031,34.996479,0.0,41.387324,60.0,39.0
4,PL031,36.017606,0.0,39.978873,60.0,39.0
5,PL031,33.915493,0.0,42.102113,60.0,39.0
6,PL031,37.461268,0.0,42.454225,60.0,39.0
7,PL031,39.0,0.0,32.461268,60.0,39.0
1,PL032,64.346535,0.0,32.653465,60.0,94.0
2,PL032,63.323432,0.0,50.023102,60.0,94.0
3,PL032,58.524752,0.0,47.79868,60.0,94.0
4,PL032,52.273927,0.0,43.250825,60.0,94.0
5,PL032,50.755776,0.0,39.518152,60.0,94.0
6,PL032,55.155116,0.0,39.60066,60.0,94.0
7,PL032,94.0,0.0,2.1551155,60.0,94.0
