day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
7,PL030,57.0,30.0,0.0,60.0,57.0
1,PL031,5.2112676,31.383803,27.40493,60.0,39.0
2,PL031,0.0,0.0,40.211268,60.0,39.0
3,PL031,0.0,3.6126761,41.387324,60.0,39.0
4,PL031,0.0,1.0211268,39.978873,60.0,39.0
5,PL031,39.0,1.0,0.0,60.0,39.0
6,PL031,39.0,46.0,0.0,60.0,39.0
7,PL031,39.0,34.0,0.0,60.0,39.0
1,PL032,0.0,64.346535,32.653465,60.0,94.0
2,PL032,0.0,49.0,0.0,60.0,94.0
3,PL032,19.0,24.0,0.0,60.0,94.0
4,PL032,56.0,0.0,0.0,60.0,94.0
5,PL032,94.0,0.0,0.0,60.0,94.0
6,PL032,94.0,44.0,0.0,60.0,94.0
7,PL032,94.0,41.0,0.0,60.0,94.0
1,PL033,0.0,49.162162,22.837838,60.0,97.0
2,PL033,0.0,2.0501931,35.949807,60.0,97.0
3,PL033,0.0,7.8764479,40.123552,60.0,97.0
4,PL033,0.0,39.0,0.0,60.0,97.0
5,PL033,23.0,0.0,0.0,60.0,97.0
6,PL033,59.0,0.0,0.0,60.0,97.0
7,PL033,97.0,2.0,0.0,60.0,97.0
1,PL034,0.0,34.624573,20.375427,60.0,52.0
2,PL034,0.0,3.8498294,32.150171,60.0,52.0
3,PL034,0.0,6.9215017,37.078498,60.0,52.0
4,PL034,0.0,39.0,0.0,60.0,52.0
5,PL034,52.0,3.0,0.0,60.0,52.0
6,PL034,52.0,46.0,0.0,60.0,52.0
7,PL034,52.0,43.0,0.0,60.0,52.0
1,PL035,0.0,42.369718,29.630282,60.0,55.0
2,PL035,4.2711268,39.728873,0.0,60.0,55.0
3,PL035,0.0,0.0,42.271127,60.0,55.0
4,PL035,39.0,0.0,0.0,60.0,55.0
5,PL035,55.0,23.0,0.0,60.0,55.0
6,PL035,55.0,45.0,0.0,60.0,55.0
7,PL035,55.0,34.0,0.0,60.0,55.0
1,PL036,64.0,15.0,0.0,60.0,64.0
2,PL036,62.754448,0.0,40.245552,60.0,64.0
3,PL036,0.0,58.384342,37.370107,60.0,64.0
4,PL036,6.1957295,0.0,39.80427,60.0,64.0
5,PL036,46.19573,0.0,0.0,60.0,64.0
6,PL036,64.0,27.19573,0.0,60.0,64.0
7,PL036,64.0,37.0,0.0,60.0,64.0
1,PL037,0.0,57.0,0.0,60.0,41.0
2,PL037,0.0,48.0,0.0,60.0,41.0
3,PL037,0.0,0.0,42.0,60.0,41.0
4,PL037,2.0649351,0.0,45.935065,60.0,41.0
5,PL037,33.064935,0.0,0.0,60.0,41.0
6,PL037,41.0,43.064935,0.0,60.0,41.0
7,PL037,41.0,52.0,0.0,60.0,41.0
1,PL038,0.0,76.0,0.0,60.0,63.0
2,PL038,2.9892857,34.010714,0.0,60.0,63.0
3,PL038,0.0,0.0,39.989286,60.0,63.0
4,PL038,0.0,0.0,31.0,60.0,63.0
5,PL038,46.0,0.0,0.0,60.0,63.0
6,PL038,63.0,21.0,0.0,60.0,63.0
7,PL038,63.0,45.0,0.0,60.0,63.0
1,PL039,0.0,98.0,0.0,60.0,83.0
2,PL039,0.0,52.0,0.0,60.0,83.0
3,PL039,0.0,0.0,36.0,60.0,83.0
4,PL039,0.0,0.0,37.0,60.0,83.0
5,PL039,32.0,0.0,0.0,60.0,83.0
6,PL039,83.0,2.0,0.0,60.0,83.0
7,PL039,83.0,45.0,0.0,60.0,83.0
1,PL040,26.0,15.0,0.0,60.0,26.0
2,PL040,0.0,30.856589,33.143411,60.0,26.0
3,PL040,0.0,0.0,23.0,60.0,26.0
4,PL040,26.0,14.0,0.0,60.0,26.0
5,PL040,26.0,30.0,0.0,60.0,26.0
6,PL040,26.0,47.0,0.0,60.0,26.0
7,PL040,26.0,49.0,0.0,60.0,26.0
1,PL041,10.877395,43.122605,0.0,60.0,24.0
2,PL041,0.0,0.0,35.877395,60.0,24.0
3,PL041,0.0,7.0766284,36.923372,60.0,24.0
4,PL041,0.0,6.9578544,39.042146,60.0,24.0
5,PL041,24.0,8.0,0.0,60.0,24.0
6,PL041,24.0,40.0,0.0,60.0,24.0
7,PL041,24.0,32.0,0.0,60.0,24.0
1,PL042,2.5457875,38.289377,30.164835,60.0,50.0
2,PL042,0.0,0.0,43.545788,60.0,50.0
3,PL042,0.0,0.71428571,43.285714,60.0,50.0
4,PL042,0.0,40.0,0.0,60.0,50.0
5,PL042,38.0,0.0,0.0,60.0,50.0
6,PL042,50.0,16.0,0.0,60.0,50.0
7,PL042,50.0,37.0,0.0,60.0,50.0
1,PL043,0.0,41.555556,19.444444,60.0,51.0
2,PL043,0.0,37.0,0.0,60.0,51.0
3,PL043,0.0,0.0,35.0,60.0,51.0
4,PL043,0.0,42.0,0.0,60.0,51.0
5,PL043,33.0,0.0,0.0,60.0,51.0
6,PL043,51.0,17.0,0.0,60.0,51.0
7,PL043,51.0,26.0,0.0,60.0,51.0
1,PL044,0.0,33.367816,22.632184,60.0,58.0
2,PL044,0.0,8.9157088,37.084291,60.0,58.0
3,PL044,0.0,22.0,0.0,60.0,58.0
4,PL044,6.1762452,0.0,35.823755,60.0,58.0
5,PL044,41.176245,0.0,0.0,60.0,58.0
6,PL044,58.0,23.176245,0.0,60.0,58.0
7,PL044,58.0,43.0,0.0,60.0,58.0
1,PL045,0.0,57.0,0.0,60.0,32.0
2,PL045,0.15018315,0.0,40.849817,60.0,32.0
3,PL045,0.0,0.0,27.150183,60.0,32.0
4,PL045,0.0,38.0,0.0,60.0,32.0
5,PL045,31.0,0.0,0.0,60.0,32.0
6,PL045,32.0,37.0,0.0,60.0,32.0
7,PL045,32.0,57.0,0.0,60.0,32.0
1,PL046,0.0,36.958175,17.041825,60.0,49.0
2,PL046,39.0,0.0,0.0,60.0,49.0
3,PL046,0.0,44.121673,34.878327,60.0,49.0
4,PL046,39.0,0.0,0.0,60.0,49.0
5,PL046,49.0,33.0,0.0,60.0,49.0
6,PL046,49.0,40.0,0.0,60.0,49.0
7,PL046,49.0,35.0,0.0,60.0,49.0
1,PL047,0.0,78.0,0.0,60.0,73.0
2,PL047,0.0,5.9042553,36.095745,60.0,73.0
3,PL047,0.0,2.1205674,38.879433,60.0,73.0
4,PL047,0.0,0.0,39.0,60.0,73.0
5,PL047,43.0,0.0,0.0,60.0,73.0
6,PL047,73.0,11.0,0.0,60.0,73.0
7,PL047,73.0,43.0,0.0,60.0,73.0
1,PL048,5.2262774,18.817518,31.956204,60.0,21.0
2,PL048,0.0,0.0,41.226277,60.0,21.0
3,PL048,0.0,1.729927,40.270073,60.0,21.0
4,PL048,0.0,37.0,0.0,60.0,21.0
5,PL048,21.0,9.0,0.0,60.0,21.0
6,PL048,21.0,39.0,0.0,60.0,21.0
7,PL048,21.0,46.0,0.0,60.0,21.0
1,PL049,0.0,74.0,0.0,60.0,47.0
2,PL049,0.0,45.0,0.0,60.0,47.0
3,PL049,0.0,2.6597015,47.340299,60.0,47.0
4,PL049,0.0,0.0,43.0,60.0,47.0
5,PL049,47.0,5.0,0.0,60.0,47.0
6,PL049,47.0,48.0,0.0,60.0,47.0
7,PL049,47.0,50.0,0.0,60.0,47.0
1,PL050,0.0,53.0,0.0,60.0,22.0
2,PL050,0.0,2.6666667,42.333333,60.0,22.0
3,PL050,0.0,33.0,0.0,60.0,22.0
4,PL050,0.0,0.0,35.0,60.0,22.0
5,PL050,22.0,14.0,0.0,60.0,22.0
6,PL050,22.0,43.0,0.0,60.0,22.0
7,PL050,22.0,34.0,0.0,60.0,22.0
1,PL051,0.0,47.092857,25.907143,60.0,52.0
2,PL051,0.0,50.0,0.0,60.0,52.0
3,PL051,0.0,38.0,0.0,60.0,52.0
4,PL051,0.0,3.3964286,45.603571,60.0,52.0
5,PL051,33.0,0.0,0.0,60.0,52.0
6,PL051,52.0,13.0,0.0,60.0,52.0
7,PL051,52.0,39.0,0.0,60.0,52.0
1,PL052,28.0,1.8273381,28.172662,60.0,28.0
2,PL052,0.0,25.94964,43.05036,60.0,28.0
3,PL052,0.0,36.0,0.0,60.0,28.0
4,PL052,0.0,36.0,0.0,60.0,28.0
5,PL052,28.0,2.0,0.0,60.0,28.0
6,PL052,28.0,33.0,0.0,60.0,28.0
7,PL052,28.0,58.0,0.0,60.0,28.0
1,PL053,4.778157,47.587031,30.634812,60.0,73.0
2,PL053,0.0,0.0,41.778157,60.0,73.0
3,PL053,0.0,0.60409556,40.395904,60.0,73.0
4,PL053,45.0,0.0,0.0,60.0,73.0
5,PL053,73.0,11.0,0.0,60.0,73.0
6,PL053,73.0,39.0,0.0,60.0,73.0
7,PL053,73.0,48.0,0.0,60.0,73.0
1,PL054,0.0,29.222628,27.777372,60.0,29.0
2,PL054,0.0,0.0,30.0,60.0,29.0
3,PL054,0.0,4.4124088,38.587591,60.0,29.0
4,PL054,0.0,4.6021898,38.39781,60.0,29.0
5,PL054,29.0,11.0,0.0,60.0,29.0
6,PL054,29.0,36.0,0.0,60.0,29.0
7,PL054,29.0,39.0,0.0,60.0,29.0
1,PL055,0.0,69.818182,23.181818,60.0,90.0
2,PL055,0.0,2.7272727,37.272727,60.0,90.0
3,PL055,0.0,0.060606061,37.939394,60.0,90.0
4,PL055,0.0,43.0,0.0,60.0,90.0
5,PL055,39.0,0.0,0.0,60.0,90.0
6,PL055,78.0,0.0,0.0,60.0,90.0
7,PL055,90.0,17.0,0.0,60.0,90.0
1,PL056,0.0,67.0,0.0,60.0,44.0
2,PL056,0.84410646,33.155894,0.0,60.0,44.0
3,PL056,0.0,0.0,37.844106,60.0,44.0
4,PL056,0.0,5.3307985,38.669202,60.0,44.0
5,PL056,33.0,0.0,0.0,60.0,44.0
6,PL056,44.0,18.0,0.0,60.0,44.0
7,PL056,44.0,43.0,0.0,60.0,44.0
1,PL057,0.0,66.027875,29.972125,60.0,93.0
2,PL057,13.400697,40.599303,0.0,60.0,93.0
3,PL057,0.0,0.0,44.400697,60.0,93.0
4,PL057,0.0,0.0,37.0,60.0,93.0
5,PL057,34.0,0.0,0.0,60.0,93.0
6,PL057,85.0,0.0,0.0,60.0,93.0
7,PL057,93.0,26.0,0.0,60.0,93.0
1,PL058,0.0,63.027875,29.972125,60.0,92.0
2,PL058,1.3310105,0.0,46.66899,60.0,92.0
3,PL058,0.0,0.0,41.33101,60.0,92.0
4,PL058,36.0,0.0,0.0,60.0,92.0
5,PL058,73.0,0.0,0.0,60.0,92.0
6,PL058,92.0,28.0,0.0,60.0,92.0
7,PL058,92.0,33.0,0.0,60.0,92.0
1,PL059,0.0,34.518771,27.481229,60.0,38.0
2,PL059,8.6348123,36.365188,0.0,60.0,38.0
3,PL059,4.9556314,0.0,42.679181,60.0,38.0
4,PL059,0.0,0.0,39.955631,60.0,38.0
5,PL059,38.0,2.0,0.0,60.0,38.0
6,PL059,38.0,48.0,0.0,60.0,38.0
7,PL059,38.0,42.0,0.0,60.0,38.0
1,PL060,85.0,0.0,0.0,60.0,98.0
2,PL060,0.0,115.0,0.0,60.0,98.0
3,PL060,0.0,48.0,0.0,60.0,98.0
4,PL060,31.0,0.0,0.0,60.0,98.0
5,PL060,75.0,0.0,0.0,60.0,98.0
6,PL060,98.0,16.0,0.0,60.0,98.0
7,PL060,98.0,38.0,0.0,60.0,98.0
1,PL061,2.590604,69.409396,0.0,60.0,65.0
2,PL061,0.0,0.0,43.590604,60.0,65.0
3,PL061,0.033557047,0.0,42.966443,60.0,65.0
4,PL061,0.0,0.0,39.033557,60.0,65.0
5,PL061,39.0,0.0,0.0,60.0,65.0
6,PL061,65.0,24.0,0.0,60.0,65.0
7,PL061,65.0,41.0,0.0,60.0,65.0
1,PL062,0.0,24.963211,25.036789,60.0,22.0
2,PL062,0.0,50.0,0.0,60.0,22.0
3,PL062,0.0,6.7692308,47.230769,60.0,22.0
4,PL062,0.0,0.0,51.0,60.0,22.0
